news_title	news_body
The consumer confidence in this country has gone way down	The Conference Board Consumer Confidence Index, a longstanding survey of Americans’ views on the economy as they see it, has fallen by 17% 1nce November 2024. A similar survey, the Univer1ty of Michigan Consumer Sentiment Index, has fallen nearly 13 percent since December 2024.
After the referendum, Milwaukee Public Schools has a larger tax levy than the City of Milwaukee	Data showing property tax revenue of the City of Milwaukee government and the Milwaukee Public School District for the years 2000 through 2021 illustrates that in most years, the city received the lion’s share of tax levies. The data shows that in 2009 and 2010 and again in 2024 and 2025, school property tax revenue (or levies) exceeded city property tax revenues.
90% of the (school) districts in Wisconsin already “have a policy” banning cellphones during class time	The 90% figure comes from testimony by the Department of Public Instruction, which conducts an annual Digital Learning Survey. Most districts in that 90% bucket allow students to use phones in common areas but not classrooms. Some have a full ban. Cellphone policies vary widely by district, and Kitchens argues the bill was written to accommodate that.
Wisconsin does not “require judges to automatically recuse just because they have done some kind of legal work in the past as a lawyer	"The judicial code of conduct requires recusal if the judge or justice ""served as a lawyer in the matter in controversy"". The ""matter"" refers to a specific lawsuit, not a broad issue like abortion. But there are certainly gray areas. Ultimately, it’s up to justices themselves to decide whether they will be able to rule impartially."
Wisconsin makes it more difficult for its citizens to vote than almost any state in the nation	Looking only at voter ID laws, Wisconsin’s is one of the strictest in the country, according to the National Conference of State Legislatures, but there are other factors besides the voter ID law that affect how easy or hard it is to vote. According to the Cost of Voting Index, which ranks the ease or difficulty of voting in each state based on 50-plus election laws and policies, Wisconsin was the fifth-hardest state in the nation to vote. Other factors besides the voter ID law that hurt Wisconsin’s ranking include a lack of true early voting, stringent rules for voter registration drives and no automatic registration or pre-registration for young people, a researcher for the index said.
Voter ID ”is supported, if you look at any poll, by 70 to 80% of the public.”	National polls from 2024 show more than 80% of the public supports voter ID, including majorities of Democrats. The Marquette Law School poll most recently asked about the issue in 2021 and found 74% of Wisconsin registered voters supported voter ID. Support was lower among Wisconsinites when Marquette polled for the same question in 2012 and 2014, soon after the voter ID requirement was signed into law.
Government shutdowns in 2013 and 2018 “cost our economy billions of dollars each.”	Congress has limited time to pass a bill that President Joe Biden would sign by 12:01 a.m. Dec. 21 to avoid a government shutdown. The nonpartisan Congressional Budget Office estimated that the 2018-19 shutdown, which lasted about five weeks, reduced U.S. economic output by $11 billion in the following two quarters, including $3 billion that the economy never regained. Moody's Analytics estimated the 2013 full-government shutdown, which lasted 16 days, reduced gross domestic product growth by $20 billion.
The Universities of Wisconsin are 43rd out of 50 states in the nation, in terms of public support for our universities. The 855 million (budget request) gets us up to average.	The State Higher Education Finance report shows Wisconsin ranks 43rd in funding its four-year, public universities. Subtracting Wisconsin’s funding per student from the national average, and multiplying it by the total number of University of Wisconsin students, does equal $457 million. That’s the amount the system is requesting in the second budget year, and the system is actually asking for less in the first year.
As of today, we have cut the flow of immigration by over half	The size of the drop varies based on what time frame is used, but over roughly the past year, the number of encounters along the southwestern U.S. border — a common way to measure immigration — has declined by 57% to 78%.
Project 2025 would “cut” the Federal Emergency Management Agency and “kill federal-backed flood insurance”	Project 2025 outlines changes to the Federal Emergency Management Agency, including reducing the federal government’s share of local disaster relief contributions from 75% to 25%, privatizing flood insurance, terminating FEMA’s grants and raising the per capita threshold for providing FEMA public assistance. Experts told PolitiFact the changes, if adopted, would reduce FEMA’s support to state and local governments and hinder disaster response. Project 2025 is the conservative Heritage Foundation’s 922-page guide for an incoming Republican administration.
Donald Trump said he was going to allow Medicare to negotiate drug prices. He never did. We did	Vice President Kamala Harris has touted the Biden administration’s move, via the Inflation Reduction Act, to let Medicare negotiate prescription drug prices with pharmaceutical companies. She has also promised to expand the program if she wins the election. Former President Donald Trump promised to allow drug negotiations during his 2016 campaign, but he never pursued such a policy while in office. Trump tried to enact a policy that would have tied prices for some Medicare drugs to lower prices in foreign countries, but courts blocked the move.
The most recent State Budget increased funding for the Department of Tourism by 98 percent	Wisconsin Legislative Fiscal bureau summary of the state Department of Tourism’s 2023-25 budget shows a table that puts the 2023-25 change at 97.8%. State Sen. Rob Cowles, R-Green Bay rounded the 97.8% figure to 98% for the sake of simplicity in his radio address.
JD Vance actually sent a letter last year to the Department of Justice saying, ‘enforce the Comstock Act’	"Former President Donald Trump’s running mate, Ohio Sen. JD Vance, joined about 40 other Republicans in 2023 to send the U.S. Justice Department a letter urging it to enforce the Comstock Act to crack down on abortion pills. The 1873 law bars the mailing of ""obscene"" materials used in abortions. Republicans have tried to revive it to limit or ban mailing abortion pills. The Republicans’ letter challenged the department’s interpretation of the law and demanded that it shut down all mailing of abortion medication."
